guarantee_id,dist_network
G170202000775,3242.92406456061
G170202000624,4535.36777826197
G170202008353,12808.8757348569
G170202002776,1687.74585371957
G170202304286,11836.3249135606
G170202002864,6910.20582327399
G170202302066,13322.4751497599
G170202008917,13290.892613285
G170202102836,12988.7229028473
G170202003902,12486.7014835136
G170202009264,14049.8253431788
G170202103109,14100.9840389323
G170202204347,8633.88801384846
G170202001617,1253.8614485932
G170202209222,14320.3869154034
G170202002223,4765.21054245561
G170202304293,4666.35839546267
G170202004657,14709.1898380285
G170202001358,10703.316221924
G170202204926,15725.0928854206
G170202004256,8298.4706321674
G170202400483,16064.8920542235
G170202002885,9599.69737972722
G170202304536,9772.79275490619
G170202004888,6209.30210823849
G170202001124,14602.7527650613
G170202101739,14299.992714218
G170202100460,14475.268879198
G170202009913,11776.3596257075
G170202401532,10501.2127341497
G170202002998,9049.193598
G170202001978,8840.61011736393
G170202004458,9697.3809176921
G170202002207,9209.92778289357
G170202000226,8677.03053176925
G170202004594,10253.7420028264
G170202003952,10694.3795291513
G170202000817,10618.467075347
G170202003873,2501.92395409475
G170202005708,4973.37238299398
G170202101304,1795.66027508368
G170202001485,4366.60845088418
G170202201750,637.862245778798
G170202003749,2020.33834823938
G170202000732,1250.0639749475
G170202008161,4188.43264455796
G170202001407,12063.2454096942
G170202009330,12064.8882951647
G170202301426,8269.31269285615
G170202301392,7985.20275371574
G170202200966,12883.0478470464
G170202303709,9343.38293676662
G170202105137,5535.36471982324
G170202201944,6676.66500577847
G170202008760,10953.0418963607
G170202401860,15494.7908275297
G170202002645,3053.70138597858
G170202005285,12064.1279055858
G170202010208,15794.4378896126
G170202102116,18595.7494004216
G170202009347,1984.66671770722
G170202005407,12797.9592125974
G170202000333,13799.8945536053
G170202000799,12821.6262691588
G170202004478,13480.6193579497
G170202007775,13788.1360421815
G170202003676,13974.9395871662
G170202000558,13973.8652312254
G170202004762,14396.6913373567
G170202004025,13022.5537759136
G170202102462,16091.9810706523
G170202004097,16233.474543947
G170202001695,15749.56997419
G170202202660,15458.2765193223
G170202004678,15239.3752028929
G170202002257,15794.8647130079
G170202005257,15497.5310023208
G170202003084,15500.8733501132
G170202103116,13602.9428499061
G170202302194,14238.6525345188
G170202003699,12998.5393874698
G170202204922,11423.662854378
G170202101065,10269.2347887921
G170202304052,10932.6754630021
G170202103205,15737.5921511789
G170202001267,13004.9960561097
G170202209549,9705.09793627862
G170202006085,9738.6237446391
G170202400937,9481.61790409625
G170202005063,8351.99232513336
G170202104640,8694.63445435976
G170202006067,8584.10721565279
G170202005137,8843.78577847771
G170202007576,9498.6337261483
G170202000271,8306.04836113426
G170202005372,4799.55749755336
G170202009326,1162.60731125725
G170202004418,1606.15382743854
G170202003162,1392.06539298432
G170202004023,3039.43474278293
G170202204059,3041.77625725252
G170202000778,3078.93442018072
G170202104601,770.25447473912
G170202001804,3131.69452764273
G170202006630,1820.67295714545
G170202008385,1165.15232384546
G170202100923,1636.03461351952
G170202004962,854.988434245307
G170202001177,1272.94317503997
G170202000676,3014.11367710602
G170202001030,3103.90438903092
G170202000441,754.942626727781
G170202005667,3721.64526849539
G170202005419,3434.60123944408
G170202003463,3383.04653255046
G170202101968,4808.976283557
G170202001981,1584.7518695903
G170202008626,1922.40081949689
G170202002218,1363.11368551
G170202000221,1873.01980921167
G170202104289,2758.33258074293
G170202102879,7119.30295734967
G170202007052,6917.56268783575
G170202001422,6927.5042254273
G170202007051,7711.7637656494
G170202102375,7790.36277068665
G170202104917,8185.35975541243
G170202300612,9184.07095365592
G170202000923,7777.23293639425
G170202001060,8765.03644481772
G170202005053,8676.12022493572
G170202007582,8228.6721274694
G170202301561,7091.381858091
G170202003323,6589.99128738098
G170202007425,7529.91234634493
G170202000511,4415.94079663451
G170202206000,4317.17217382511
G170202009066,4434.3154197967
G170202008066,2957.7016381846
G170202100449,2855.76813398043
G170202008369,3016.18505385255
G170202000807,3380.28434427666
G170202300596,3875.5808217268
G170202005803,3408.98364867004
G170202101165,3790.70190319837
G170202003479,3744.84732447928
G170202200021,3742.2451710341
G170202004217,4020.09490617963
G170202000578,3973.25262240142
G170202209409,3780.14264585362
G170202002011,3849.49466932384
G170202001924,4565.54397046282
G170202005594,3008.8320998536
G170202004696,3002.98984671925
G170202003442,3179.63657332355
G170202007835,3139.72552598291
G170202001004,3071.83711621971
G170202002550,4208.60701562989
G170202103714,4078.80840757993
G170202100093,4229.92727988521
G170202006964,4295.1411955996
G170202008531,3813.77479507066
G170202000481,3547.49988836358
G170202005856,3194.64171851144
G170202000753,3486.19849418027
G170202004223,3006.71349388973
G170202008791,5464.34665058748
G170202004663,4411.11812542449
G170202003640,4411.67240310696
G170202000358,5033.60573882064
G170202000818,4721.50342609864
G170202105314,4530.03279685534
G170202003083,14275.1837412757
G170202008171,14397.5127154908
G170202302584,12131.589614854
G170202009623,10102.8754744453
G170202304368,10223.1707590644
G170202200150,6707.52059123823
G170202208748,6932.19814983124
G170202000531,6078.62572105534
G170202104969,5464.11634457892
G170202003846,1927.02619445468
G170202103742,1805.74060598097
G170202000224,12265.8821846086
G170202000644,12258.4666980775
G170202000075,13917.3316593848
G170202010275,14120.6228027179
G170202004245,14133.2561190159
G170202000635,14042.5776030249
G170202001180,13615.7455180943
G170202304342,15924.3202695872
G170202203695,14300.3298743255
G170202104218,13577.8417616585
G170202102844,12738.0844544807
G170202304560,16133.0042705904
G170202304598,16317.4834131073
G170202205243,11745.964103843
G170202003858,5268.64368712434
G170202005191,5318.20680294905
G170202400042,2600.11566882255
G170202205200,8168.85408273864
G170202009129,6058.72532770112
G170202007102,5243.9359478353
G170202304173,7371.37951566503
G170202300468,8236.75668022072
G170202207355,7558.41353442833
G170202400656,7400.2320255653
G170202104715,8642.21490538292
G170202302789,3993.45111779486
G170202003110,4178.85718558375
G170202101562,7409.04140280931
G170202006246,6216.29876210862
G170202003243,5303.58755785414
