guarantee_id,dist_network
G400202200749,2640.74723938669
G400202301454,2257.76141782379
G400202400985,5452.06266283551
G400202400883,16309.8051918126
G400202201217,16998.4900658762
G400202301866,8684.03141838774
G400202300310,8154.67779446672
G400202201110,16232.2595751814
G400202301812,5754.76667024328
G400202301519,6049.57706858974
G400202301190,5978.54216060309
G400202400371,5355.19255688559
G400202400818,6872.9661145762
G400202401142,8581.7559179472
G400202200864,26331.5580207488
G400202301486,864.803232351037
G400202301150,1991.73309123835
G400202400664,17721.1152485508
G400202400669,8194.29398416748
G400202400861,28626.707958872
G400202400686,613.732424719125
G400202400693,1686.10695859847
G400202301395,7382.1939242173
G400202301463,4343.86589673573
G400202300363,12326.9091486206
G400202301641,13397.1990101359
G400202300033,5071.8589676653
G400202300766,3216.62640772454
G400202301562,10742.9618894172
G400202400716,17566.0853254756
G400202400568,21163.0156004736
G400202300341,2427.66262192694
G400202301769,12736.3271802278
G400202400951,21109.3894452023
G400202300580,18349.2934297535
G400202300321,3418.77144566683
G400202301583,3898.41654009188
G400202300694,3951.6467670361
G400202300304,3959.16496836664
G400202301103,18838.6658843085
G400202400581,26366.9760788795
G400202200413,26996.4650269373
G400202301151,25296.5295441582
G400202200741,14245.8215953252
G400202400748,14206.573459507
G400202300994,15064.6788766511
G400202400803,14399.3316021152
G400202200534,7941.99733121902
G400202300776,19484.6757896489
G400202301635,12546.8133174257
G400202301031,12595.4317497819
G400202400077,12727.9208452939
G400202300773,12749.8082647476
G400202200978,12797.4990512462
G400202400230,12930.0762687975
G400202200817,16879.6314022918
G400202200876,17401.5013513457
G400202401109,5679.7123324326
G400202201175,3408.89109048937
G400202301244,2034.39926562968
G400202200878,1950.74771182865
G400202201188,16990.5186599251
G400202300992,17077.1240770755
G400202400577,17180.4433045413
G400202200945,17192.5832832221
G400202300372,17326.8230176268
G400202301604,17469.5379604822
G400202400356,17952.1686589825
G400202200683,17501.0319187788
G400202400023,5252.08503420071
G400202200867,11253.1316922431
G400202301233,6571.72974847504
G400202400946,6012.58664032411
G400202200923,651.014508823352
G400202200785,460.031708531616
G400202301003,368.575902028188
G400202200939,268.596142464193
G400202200578,197.931827993965
G400202400224,129.940235721367
G400202301856,117.816170098229
G400202400831,146.82379238915
G400202300073,377.43295762201
G400202400909,460.966927842206
G400202301211,635.769234708991
G400202200758,631.489401498021
G400202300419,408.220434028738
G400202200754,396.080178782683
G400202301327,388.976482619578
G400202200193,369.799895987636
G400202200407,338.141884978343
G400202200840,228.371544745219
G400202401071,2658.01668231471
G400202400893,2667.10641251972
G400202300328,2678.16770716563
G400202300589,2593.83792300601
G400202300651,12012.6028681149
G400202200367,12312.1344551325
G400202301250,12258.1811657683
G400202301469,1406.63024604718
G400202200924,1033.07874152681
G400202400024,971.855311692901
G400202400674,949.105071844411
G400202301224,921.277412441457
G400202301643,13555.2381291749
G400202400043,13043.2699465244
G400202400630,771.430622700761
G400202300182,549.958763468815
G400202400918,538.55731103547
G400202300767,510.937197184036
G400202400350,475.861747071544
G400202200721,459.857951339355
G400202200671,450.972853809578
G400202200944,448.029221768188
G400202200919,439.007425397119
G400202200967,413.882231374979
G400202301799,415.766438904588
G400202301091,495.953222094718
G400202400303,809.226353694774
G400202301627,878.222395967246
G400202200419,754.375515164331
G400202201101,729.568424460748
G400202201071,802.325975631679
G400202200376,818.160406953512
G400202301122,852.14369314308
G400202301470,912.757890346747
G400202301116,724.15793108776
G400202200558,737.587261343063
G400202201042,870.833707958086
G400202301289,772.433954718005
G400202301673,827.183064039831
G400202201117,641.227961365323
G400202300706,658.406035975487
G400202201133,696.651921435556
G400202300575,1005.09839886484
G400202301315,815.295981981641
G400202201000,817.796894665996
G400202300808,836.600285263024
G400202301729,841.176429946376
G400202200732,933.233559361898
G400202301242,957.225625697217
G400202301535,859.25340022487
G400202200299,893.401829002558
G400202300367,570.066092088063
G400202300479,928.923480112199
G400202401026,675.900495969021
G400202301369,917.36418552558
G400202400781,902.00682893812
G400202300272,923.516643544711
G400202301068,473.335428087558
G400202400194,390.781311420046
G400202200960,323.262516860577
G400202401098,313.814545937288
G400202400196,439.381566990984
G400202400566,364.243011626029
G400202300466,296.70589265786
G400202400814,245.762705419831
G400202301879,224.270852260122
G400202200927,204.732246827983
G400202200455,190.770863991758
G400202300370,164.853158339755
G400202300633,185.665248128458
G400202301046,920.979906660572
G400202300877,848.769432017916
G400202201054,400.510429437611
G400202400763,212.512175302504
G400202400480,323.203813990761
G400202200668,335.341794279509
G400202201003,377.483842855336
G400202300612,459.690848798982
G400202201011,964.001783262783
G400202301067,851.220883794182
G400202300075,538.019545613395
G400202300253,117.97940507244
G400202300744,160.807746828435
G400202301601,190.046774627037
G400202200846,179.120624200602
G400202400384,181.200778167537
G400202200396,186.320139732364
G400202200870,204.256439736694
G400202400358,227.577842419696
G400202301097,491.84915721643
G400202300044,487.907633468972
G400202301594,475.416027800183
G400202400237,432.027434919487
G400202200937,393.672228317665
G400202400595,396.843456868911
G400202300671,554.000735449033
G400202300710,593.037054582426
G400202200293,574.160342750447
G400202301228,660.864217807288
G400202400001,1014.24189842224
G400202301362,869.535613098126
G400202201210,834.059643981452
G400202301534,903.445876307525
G400202300286,823.791878233861
G400202400060,909.346044704909
G400202300373,672.032687930446
G400202300702,555.800300031698
G400202300345,593.342295525322
G400202300679,737.072855169537
G400202400722,658.340778176257
G400202200562,826.75872283158
G400202201069,1003.65009813309
G400202400332,750.304254749742
G400202301511,768.911529106016
G400202201142,859.613619401626
G400202200697,608.113052857249
G400202300692,202.784844536291
G400202300232,430.282368120347
G400202300012,560.940829354762
G400202300037,629.659988117458
G400202300848,632.066761093524
G400202301266,651.156508534431
G400202200910,907.045873925842
G400202301889,367.108597312181
G400202200774,277.925079424782
G400202200604,377.277168211042
G400202400548,245.491177931719
G400202301882,361.538063236658
G400202301704,378.895428598777
G400202400900,371.837318114227
G400202400864,343.287883971941
G400202400383,343.005105509828
G400202400555,327.532231894072
G400202200598,303.609055832042
G400202200728,277.413755326929
G400202200789,255.254338002369
G400202300156,188.834052675427
G400202300892,182.750901302499
G400202300085,174.942048891043
G400202301010,134.899981189178
G400202400625,130.494756870964
G400202200571,100.668609445004
G400202301121,84.8072422307507
G400202301472,329.763035933807
G400202400163,325.478019318432
G400202200348,489.477574911971
G400202301370,1042.21323212906
G400202201059,4172.91237911741
G400202300855,4925.49666922044
G400202400027,4969.10260285512
G400202301141,4432.11324449584
G400202200879,4407.86234428234
G400202400601,4082.49286650872
G400202400443,3694.14774964239
G400202301843,4434.66922360345
G400202200491,2906.94847820385
G400202200424,954.53282152155
G400202200972,956.611432825166
G400202300704,2939.08472837097
G400202200770,2903.34290573103
G400202400504,2861.18708448902
G400202301168,2858.10653100634
G400202200609,2758.98943815948
G400202301000,2745.95360460042
G400202301443,2741.58277208236
G400202301484,2522.11122982589
G400202301822,3641.52016089972
G400202300484,3627.80010473043
G400202400160,3612.32170867585
G400202400455,3593.99622703832
G400202201103,2804.910508234
G400202201009,2832.75215764996
G400202400659,3539.28589843691
